Unnamed: 0,filename,candidates,choices,gamma,og_irv,og_condorcet,og_plurality,Bvote_free_irv,Bvote_free_condorcet,Bvote_free_plurality,Tvote_free_irv,Tvote_free_condorcet,Tvote_free_plurality,bullet_votes,voluntarily_truncated_votes,total_votes,level,gamma_complete,complete_ballots_count
218,Oakland_11022010_CityCouncilDistrict6.csv,3,3,0.82001865,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,3908,5993.0,12868,LOCAL,0.6631272727272727,6875.0
219,Oakland_11022010_Mayor.csv,10,3,0.76874489,JEAN QUAN,JEAN QUAN,DON PERATA,JEAN QUAN,JEAN QUAN,DON PERATA,,,,17516,,119686,LOCAL,,
220,Oakland_11032020_MemberCityCouncilAtLargeOaklandRCV.csv,3,5,0.87749738,REBECCA KAPLAN,REBECCA KAPLAN,REBECCA KAPLAN,DERRECK B. JOHNSON,DERRECK B. JOHNSON,DERRECK B. JOHNSON,DERRECK B. JOHNSON,DERRECK B. JOHNSON,DERRECK B. JOHNSON,52533,83734.0,185694,LOCAL,0.7768928991761475,101960.0
221,Oakland_11032020_MemberCityCouncilDist1OaklandRCV.csv,3,5,0.86912441,DAN KALB,DAN KALB,DAN KALB,DAN KALB,DAN KALB,DAN KALB,DAN KALB,DAN KALB,DAN KALB,9846,17204.0,36890,LOCAL,0.7547495682210709,19686.0
222,Oakland_11032020_MemberCityCouncilDist3OaklandRCV.csv,6,5,0.56154072,CARROLL FIFE,CARROLL FIFE,CARROLL FIFE,CARROLL FIFE,CARROLL FIFE,CARROLL FIFE,,,,8587,,30817,LOCAL,0.04382060938034919,11684.0
223,Oakland_11032020_MemberCityCouncilDist5OaklandRCV.csv,3,5,0.85295111,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,4599,7226.0,17756,LOCAL,0.7520417853751187,10530.0
224,Oakland_11032020_MemberCityCouncilDist7OaklandRCV.csv,5,5,0.48581758,TREVA REID,TREVA REID,TREVA REID,TREVA REID,TREVA REID,TREVA REID,TREVA REID,TREVA REID,TREVA REID,4487,10109.0,19637,LOCAL,0.12636439966414778,9528.0
225,Oakland_11032020_SchoolDirectorDist1OaklandRCV.csv,3,5,0.93672061,SAM DAVIS,SAM DAVIS,SAM DAVIS,SAM DAVIS,SAM DAVIS,SAM DAVIS,SAM DAVIS,SAM DAVIS,SAM DAVIS,7857,16605.0,34482,LOCAL,0.8779437265760475,17877.0
226,Oakland_11032020_SchoolDirectorDist3OaklandRCV.csv,5,5,0.56536484,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,5362,17008.0,28601,LOCAL,0.1159320279478996,11593.0
227,Oakland_11032020_SchoolDirectorDist5OaklandRCV.csv,4,5,0.66021454,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,4694,8023.0,17152,LOCAL,0.41198378792857926,9129.0
